"","group","sample","ring_no","species","sex","rearing_nest","family_membership","sampling","index_1","index_2","breading_no","miseq_run","couple","no_species_nest"
"G68","G68","FD180","Grey709","Zebra_Finch","Female","EF26","Mother","Day_5","S502","N708","1","613","couple1","1"
"G69","G69","FD181","Grey709","Zebra_Finch","Female","EF26","Mother","Day_10","S503","N703","1","613","couple1","1"
"G7","G7","FD007","Silver179","Bengalese_Finch","Female","VS13","Mother","Day_5","S504","N711","1","592","couple6","2"
"G70","G70","FD182","Grey709","Zebra_Finch","Female","EF26","Mother","Day_100","S503","N707","1","613","couple1","1"
"G71","G71","FD187","Grey618","Zebra_Finch","Male","EF26","Father","Day_35","S507","N703","1","613","couple1","1"
"G72","G72","FD188","Grey709","Zebra_Finch","Female","EF26","Mother","Day_35","S508","N708","1","613","couple1","1"
"G73","G73","FD189","Silver183","Bengalese_Finch","Male","VS18A","Father","Fostering","S502","N705","1","592","couple9","1"
"G74","G74","FD190","Silver183","Bengalese_Finch","Male","VS18A","Father","Day_5","S502","N711","1","592","couple9","1"
"G75","G75","FD191","Silver183","Bengalese_Finch","Male","VS18A","Father","Day_10","S503","N703","1","592","couple9","1"
"G76","G76","FD192","Silver183","Bengalese_Finch","Male","VS18A","Father","Day_35","S503","N709","1","592","couple9","1"
"G77","G77","FD193","Silver183","Bengalese_Finch","Male","VS18A","Father","Day_100","S504","N707","1","592","couple9","1"
"G78","G78","FD194","White130","Bengalese_Finch","Female","VS18A","Mother","Fostering","S505","N705","1","592","couple9","1"
"G79","G79","FD195","White130","Bengalese_Finch","Female","VS18A","Mother","Day_5","S505","N712","1","592","couple9","1"
"G8","G8","FD008","Silver179","Bengalese_Finch","Female","VS13","Mother","Day_35","S505","N701","1","592","couple6","2"
"G80","G80","FD196","White130","Bengalese_Finch","Female","VS18A","Mother","Day_10","S502","N702","1","613","couple9","1"
"G81","G81","FD197","White130","Bengalese_Finch","Female","VS18A","Mother","Day_35","S507","N712","1","592","couple9","1"
"G82","G82","FD198","White130","Bengalese_Finch","Female","VS18A","Mother","Day_100","S508","N704","1","592","couple9","1"
"G88","G88","FD221PC","Silver200","Bengalese_Finch","Female","VS4B","Mother","Fostering","S517","N701","1","592","couple11","2"
"G9","G9","FD009","Silver179","Bengalese_Finch","Female","VS13","Mother","Day_100","S505","N709","1","592","couple6","2"
"G92","G92","FD236","Silver183","Bengalese_Finch","Male","VS18B","Father","Day_5","S502","N710","1","592","couple9","2"
"G93","G93","FD237","Silver183","Bengalese_Finch","Male","VS18B","Father","Day_10","S503","N707","1","592","couple9","2"
"G99","G99","FD248","Grey1302","Zebra_Finch","Male","KE03","Father","Fostering","S508","N711","1","592","couple3","1"
